date_month,area_ha
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,6.614
2019-02,2.141
2019-03,2.419
2019-04,4.746
2019-05,7.389
2019-06,14.663
2019-07,11.999
2019-08,12.508
2019-09,7.938
2019-10,8.134
2019-11,3.572
2019-12,0.726
2020-01,6.329
2020-02,3.693
2020-03,7.093
2020-04,3.241
2020-05,7.217
2020-06,3.805
2020-07,3.008
2020-08,21.474
2020-09,9.014
2020-10,4.503
2020-11,6.794
2020-12,6.2
2021-01,2.854
2021-02,2.051
2021-03,2.812
2021-04,3.806
2021-05,6.702
2021-06,10.208
2021-07,15.67
2021-08,9.443
2021-09,7.58
2021-10,8.218
2021-11,11.085
2021-12,5.214
2022-01,4.148
2022-02,4.228
2022-03,1.385
2022-04,16.035
2022-05,3.329
2022-06,12.575
2022-07,11.886
2022-08,8.26
2022-09,3.179
2022-10,14.396
2022-11,2.172
2022-12,6.144
2023-01,1.539
2023-02,4.172
2023-03,1.993
2023-04,6.099
2023-05,12.268
2023-06,6.684
2023-07,8.297
2023-08,9.064
2023-09,1.72
2023-10,1.768
2023-11,2.144
2023-12,9.202
2024-01,1.979
2024-02,3.924
2024-03,1.984
2024-04,6.487
2024-05,12.449
2024-06,7.617
2024-07,3.753
2024-08,14.586
2024-09,5.211
2024-10,2.814
2024-11,4.516
2024-12,2.792
2025-01,11.157
2025-02,5.682
2025-03,2.272
2025-04,5.144
2025-05,7.056
2025-06,2.842
2025-07,4.715
2025-08,14.512
2025-09,6.386
2025-10,0
2025-11,0
2025-12,0
