time_utc,T2m_C,Td_C
2025-01-10 00:00,17.8,11.232
2025-01-10 01:00,17.769,11.563
2025-01-10 02:00,17.684,11.945
2025-01-10 03:00,17.579,12.171
2025-01-10 04:00,17.514,12.398
2025-01-10 05:00,17.29,12.688
2025-01-10 06:00,17.31,12.972
2025-01-10 07:00,17.43,13.515
2025-01-10 08:00,17.649,14.034
2025-01-10 09:00,17.898,14.343
2025-01-10 10:00,18.438,14.583
2025-01-10 11:00,18.335,14.03
2025-01-10 12:00,18.014,13.76
2025-01-10 13:00,17.713,13.697
2025-01-10 14:00,17.494,13.512
2025-01-10 15:00,17.328,13.174
2025-01-10 16:00,17.208,13.072
2025-01-10 17:00,17.057,13.147
2025-01-10 18:00,16.981,13.193
2025-01-10 19:00,17.175,12.923
2025-01-10 20:00,17.496,12.826
2025-01-10 21:00,18.008,12.915
2025-01-10 22:00,18.427,12.657
2025-01-10 23:00,18.72,12.649
2025-01-11 00:00,18.884,12.692
2025-01-11 01:00,18.977,12.748
2025-01-11 02:00,19.083,12.937
2025-01-11 03:00,18.97,13.506
2025-01-11 04:00,18.948,13.813
2025-01-11 05:00,19.037,13.9
2025-01-11 06:00,19.23,13.927
2025-01-11 07:00,19.189,13.788
2025-01-11 08:00,19.189,13.554
2025-01-11 09:00,18.922,12.871
2025-01-11 10:00,17.998,12.121
2025-01-11 11:00,17.62,12.015
2025-01-11 12:00,17.404,12.062
2025-01-11 13:00,17.221,12.237
2025-01-11 14:00,16.964,12.339
2025-01-11 15:00,16.75,12.25
2025-01-11 16:00,16.37,12.758
2025-01-11 17:00,16.303,12.96
2025-01-11 18:00,16.365,12.359
2025-01-11 19:00,16.631,11.207
2025-01-11 20:00,16.892,10.2
2025-01-11 21:00,17.06,9.471
2025-01-11 22:00,16.968,8.503
2025-01-11 23:00,17.292,8.333
2025-01-12 00:00,17.643,8.089
2025-01-12 01:00,17.984,7.868
2025-01-12 02:00,18.219,8.549
2025-01-12 03:00,18.12,10.015
2025-01-12 04:00,17.769,11.082
2025-01-12 05:00,17.494,11.671
2025-01-12 06:00,17.363,12.001
2025-01-12 07:00,17.684,11.717
2025-01-12 08:00,18.03,11.369
2025-01-12 09:00,18.235,11.232
2025-01-12 10:00,17.408,11.692
2025-01-12 11:00,17.523,11.888
2025-01-12 12:00,17.584,11.776
2025-01-12 13:00,17.557,11.635
2025-01-12 14:00,17.451,11.574
2025-01-12 15:00,17.247,11.645
2025-01-12 16:00,16.974,11.83
2025-01-12 17:00,16.674,12.085
2025-01-12 18:00,16.465,12.238
2025-01-12 19:00,16.565,12.376
2025-01-12 20:00,17.045,12.58
2025-01-12 21:00,17.473,12.284
2025-01-12 22:00,17.868,11.575
2025-01-12 23:00,18.203,10.987
